2024-12-05 11:34:08 - Ticketing System Started
2024-12-05 11:34:11 - Config file successfully loaded.
2024-12-05 11:34:14 - TicketPool initialized with max capacity: 15
2024-12-05 11:34:14 - Vendor thread 1 started.
2024-12-05 11:34:14 - Vendor thread 2 started.
2024-12-05 11:34:14 - Vendor thread 3 started.
2024-12-05 11:34:14 - Vendor thread 4 started.
2024-12-05 11:34:14 - Customer thread 1 started.
2024-12-05 11:34:14 - Customer thread 2 started.
2024-12-05 11:34:14 - Customer thread 3 started.
2024-12-05 11:34:14 - Customer thread 4 started.
2024-12-05 11:34:16 - Vendor-5 added ticket: 4-1, Tickets available: 11
2024-12-05 11:34:16 - Vendor-3 added ticket: 2-1, Tickets available: 12
2024-12-05 11:34:16 - Vendor-2 added ticket: 1-1, Tickets available: 13
2024-12-05 11:34:16 - Vendor-4 added ticket: 3-1, Tickets available: 14
2024-12-05 11:34:17 - Customer 3 bought ticket: 1, Tickets available: 13
2024-12-05 11:34:17 - Customer 2 bought ticket: 2, Tickets available: 12
2024-12-05 11:34:17 - Customer 1 bought ticket: 3, Tickets available: 11
2024-12-05 11:34:17 - Customer 4 bought ticket: 4, Tickets available: 10
2024-12-05 11:34:18 - Vendor-5 added ticket: 4-2, Tickets available: 11
2024-12-05 11:34:18 - Vendor-3 added ticket: 2-2, Tickets available: 12
2024-12-05 11:34:18 - Vendor-4 added ticket: 3-2, Tickets available: 13
2024-12-05 11:34:18 - Vendor-2 added ticket: 1-2, Tickets available: 14
2024-12-05 11:34:20 - Customer 3 bought ticket: 5, Tickets available: 13
2024-12-05 11:34:20 - Customer 2 bought ticket: 6, Tickets available: 12
2024-12-05 11:34:20 - Vendor-5 added ticket: 4-3, Tickets available: 13
2024-12-05 11:34:20 - Vendor-3 added ticket: 2-3, Tickets available: 14
2024-12-05 11:34:20 - Customer 1 bought ticket: 7, Tickets available: 13
2024-12-05 11:34:20 - Customer 4 bought ticket: 8, Tickets available: 12
2024-12-05 11:34:20 - Vendor-4 added ticket: 3-3, Tickets available: 13
2024-12-05 11:34:20 - Vendor-2 added ticket: 1-3, Tickets available: 14
2024-12-05 11:34:22 - Vendor-5 added ticket: 4-4, Tickets available: 15
2024-12-05 11:34:22 - Vendor-3 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:22 - Vendor-4 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:22 - Vendor-2 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:23 - Customer 3 bought ticket: 9, Tickets available: 14
2024-12-05 11:34:23 - Vendor-3 added ticket: 2-4, Tickets available: 15
2024-12-05 11:34:23 - Customer 2 bought ticket: 10, Tickets available: 14
2024-12-05 11:34:23 - Vendor-2 added ticket: 1-4, Tickets available: 15
2024-12-05 11:34:23 - Vendor-4 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:23 - Customer 1 bought ticket: 4-1, Tickets available: 14
2024-12-05 11:34:23 - Vendor-4 added ticket: 3-4, Tickets available: 15
2024-12-05 11:34:23 - Customer 4 bought ticket: 2-1, Tickets available: 14
2024-12-05 11:34:24 - Vendor-5 added ticket: 4-5, Tickets available: 15
2024-12-05 11:34:25 - Vendor-3 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:25 - Vendor-4 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:25 - Vendor-2 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:26 - Customer 2 bought ticket: 1-1, Tickets available: 14
2024-12-05 11:34:26 - Vendor-3 added ticket: 2-5, Tickets available: 15
2024-12-05 11:34:26 - Vendor-2 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:26 - Vendor-4 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:26 - Customer 1 bought ticket: 3-1, Tickets available: 14
2024-12-05 11:34:26 - Customer 3 bought ticket: 4-2, Tickets available: 13
2024-12-05 11:34:26 - Vendor-4 added ticket: 3-5, Tickets available: 14
2024-12-05 11:34:26 - Vendor-2 added ticket: 1-5, Tickets available: 15
2024-12-05 11:34:26 - Vendor-5 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:26 - Customer 4 bought ticket: 2-2, Tickets available: 14
2024-12-05 11:34:26 - Vendor-5 added ticket: 4-6, Tickets available: 15
2024-12-05 11:34:28 - Vendor-3 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:28 - Vendor-2 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:28 - Vendor-4 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:28 - Vendor-5 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:29 - Customer 2 bought ticket: 3-2, Tickets available: 14
2024-12-05 11:34:29 - Vendor-3 added ticket: 2-6, Tickets available: 15
2024-12-05 11:34:29 - Vendor-5 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:29 - Vendor-4 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:29 - Vendor-2 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:29 - Customer 1 bought ticket: 1-2, Tickets available: 14
2024-12-05 11:34:29 - Vendor-5 added ticket: 4-7, Tickets available: 15
2024-12-05 11:34:29 - Vendor-2 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:29 - Vendor-4 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:29 - Customer 3 bought ticket: 4-3, Tickets available: 14
2024-12-05 11:34:29 - Vendor-2 added ticket: 1-6, Tickets available: 15
2024-12-05 11:34:29 - Vendor-4 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:29 - Customer 4 bought ticket: 2-3, Tickets available: 14
2024-12-05 11:34:29 - Vendor-4 added ticket: 3-6, Tickets available: 15
2024-12-05 11:34:31 - Vendor-3 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:31 - Vendor-2 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:31 - Vendor-5 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:31 - Vendor-4 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:32 - Customer 2 bought ticket: 3-3, Tickets available: 14
2024-12-05 11:34:32 - Vendor-3 added ticket: 2-7, Tickets available: 15
2024-12-05 11:34:32 - Vendor-4 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:32 - Vendor-5 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:32 - Vendor-2 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:32 - Customer 1 bought ticket: 1-3, Tickets available: 14
2024-12-05 11:34:32 - Vendor-4 added ticket: 3-7, Tickets available: 15
2024-12-05 11:34:32 - Vendor-2 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:32 - Vendor-5 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:32 - Customer 3 bought ticket: 4-4, Tickets available: 14
2024-12-05 11:34:32 - Vendor-2 added ticket: 1-7, Tickets available: 15
2024-12-05 11:34:32 - Vendor-5 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:32 - Customer 4 bought ticket: 2-4, Tickets available: 14
2024-12-05 11:34:32 - Vendor-5 added ticket: 4-8, Tickets available: 15
2024-12-05 11:34:34 - Vendor-3 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:34 - Vendor-4 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:34 - Vendor-5 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:34 - Vendor-2 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:35 - Customer 2 bought ticket: 1-4, Tickets available: 14
2024-12-05 11:34:35 - Vendor-3 added ticket: 2-8, Tickets available: 15
2024-12-05 11:34:35 - Vendor-2 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:35 - Vendor-5 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:35 - Vendor-4 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:35 - Customer 1 bought ticket: 3-4, Tickets available: 14
2024-12-05 11:34:35 - Vendor-2 added ticket: 1-8, Tickets available: 15
2024-12-05 11:34:35 - Vendor-4 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:35 - Vendor-5 tried to add tickets but the ticket pool is full, waiting...
2024-12-05 11:34:35 - Customer 4 bought ticket: 4-5, Tickets available: 14
2024-12-05 11:34:35 - Customer 3 bought ticket: 2-5, Tickets available: 13
2024-12-05 11:34:35 - Vendor-5 added ticket: 4-9, Tickets available: 14
